Molecular Formula,SMILES,XLogP,Molecular Weight,Hydrogen Bond Donors,Hydrogen Bond Acceptors,Element Count,Topological Polar Surface Area,Rotatable Bonds Count,Lipinski_Violations,Ghose_Violations,Veber_Violations,Lipinski_Pass,Ghose_Pass,Veber_Pass,Sweet_Spot_Pass,All_Rules_Pass
C5H5N5O,O=c1[nH]c(nc2c1nc[nH]2)N,-0.291,151.04941,3,3,16,100.45,1,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C6H12O6,O1C(O)[C@H](O)[C@@H](O)[C@@H]([C@H]1CO)O,-1.697,180.063388,5,6,24,110.38,6,0,1,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C6H12O6,O1[C@H](O)[C@H](O)[C@@H](O)[C@@H]([C@H]1CO)O,-1.697,180.063388,5,6,24,110.38,6,0,1,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C4H8O3,O=C(O)CCCO,-0.601,104.047344,2,3,15,57.53,5,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
HO,[OH-],-0.467,17.00274,0,1,2,0.0,0,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C21H23NO5,O=C(Oc1c2O[C@H]3[C@@H](OC(=O)C)C=C[C@@H]4[C@]53c2c(C[C@H]4N(C)CC5)cc1)C,1.421,369.157623,0,4,50,65.07,7,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
H2O,O([2H])[2H],-0.467,18.010565,1,1,3,0.0,0,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
H2O2,OO,-1.044,34.005479,2,2,4,40.46,1,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C18H21NO3,O=C1[C@@H]2Oc3c(OC)ccc4c3[C@]25[C@H]([C@H](N(C)CC5)C4)CC1,0.922,299.152144,0,2,43,38.77,3,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C13H16ClNO,Clc1c(cccc1)C2(NC)C(=O)CCCC2,2.882,237.092042,1,2,32,29.1,4,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C16H14O3,O=C(c1cc(ccc1)C(C(=O)O)C)c2ccccc2,3.217,254.094294,1,3,33,54.37,6,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C5H6O5,O=C(O)C(=O)CCC(=O)O,-1.056,146.021523,2,5,16,91.67,6,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C20H25N3O,O=C(N(CC)CC)[C@@H]1C=C2c3c4c([nH]cc4C[C@H]2N(C1)C)ccc3,2.419,323.199762,1,3,49,39.34,6,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C6H5Li3O7,O=C([O-])C(O)(CC(=O)[O-])CC(=O)[O-].[Li+].[Li+].[Li+],-3.69,210.051541,1,7,21,140.62,9,0,1,1,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
CLi2O3,O=C([O-])[O-].[Li+].[Li+],-1.192,74.016753,0,3,6,63.19,2,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C12H22O11,O1[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]([C@H]1CO)O,-3.663,342.116212,8,11,45,189.53,12,2,1,2,❌ Fail,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C40H56,C(\C=C\C=C(\CCC=C(C)C)/C)(=C\C=C\C(=C\C=C\C=C(\C=C\C=C(\C=C\C=C(\CCC=C(C)C)/C)/C)/C)\C)/C,14.586,536.438202,0,0,96,0.0,26,2,3,1,❌ Fail,❌ Fail,❌ Fail,❌ Fail,❌ Fail
CH4O,OC,-0.499,32.026215,1,1,6,20.23,1,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C17H19NO3,O1c2c(O)ccc3c2[C@@]45[C@@H]1[C@@H](O)C=C[C@H]4[C@H](N(C)CC5)C3,0.49,285.136493,2,2,40,52.93,3,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C15H15NO2S,S(=O)(C(c1ccccc1)c2ccccc2)CC(=O)N,0.606,273.08235,1,3,34,79.37,5,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C21H27NO,O=C(C(c1ccccc1)(c2ccccc2)CC(N(C)C)C)CC,4.592,309.209264,0,2,50,20.31,11,0,0,1,✅ Pass,✅ Pass,❌ Fail,❌ Fail,❌ Fail
NO3,O=[N+]([O-])[O-],-0.019,61.987818,0,0,4,66.2,2,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C3H5N3O9,O=[N+](OC(CO[N+](=O)[O-])CO[N+](=O)[O-])[O-],0.976,227.002579,0,0,20,157.11,11,0,0,2,✅ Pass,✅ Pass,❌ Fail,✅ Pass,❌ Fail
HNO3,O=[N+](O)[O-],-0.142,62.995643,1,0,5,63.37,2,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C6H6N2O,O=C(N)c1cnccc1,-0.343,122.048013,1,3,15,55.98,1,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
NO2,O=[N+]=O,0.38,45.992903,0,0,3,34.14,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
O3,[O+](=O)[O-],-0.816,47.984744,0,2,3,40.13,1,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
O3,[O+]([O-])[O-],-1.044,47.984744,0,2,3,46.12,2,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C18H21NO4,O=C1[C@@H]2Oc3c(OC)ccc4c3[C@]25[C@](O)([C@H](N(C)CC5)C4)CC1,0.012,315.147058,1,3,44,59.0,4,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C3H8,C(C)C,2.047,44.0626,0,0,11,0.0,2,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C5H4N4,n1c2nc[nH]c2cnc1,-0.248,120.043596,1,3,13,54.46,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C4H4N2,n1cnccc1,-0.271,80.037448,0,2,10,25.78,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
O4P,P(=O)([O-])([O-])[O-],-2.247,94.95342,0,4,5,96.06,3,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C5H5N,n1ccccc1,0.77,79.042199,0,1,11,12.89,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C6H6O,Oc1ccccc1,1.616,94.041865,1,0,13,20.23,1,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C17H25N,N1(C2(c3ccccc3)CCCCC2)CCCCC1,4.218,243.1987,0,1,43,3.24,2,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C17H25NO,OC1CCN(C2(c3ccccc3)CCCCC2)CC1,3.188,259.193614,1,2,44,23.47,3,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C17H25NO,OC1CCC(N2CCCCC2)(c3ccccc3)CC1,2.977,259.193614,1,2,44,23.47,3,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C17H25NO2,O=C(O)CCCCNC1(c2ccccc2)CCCCC1,3.371,275.188529,2,3,45,49.33,8,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C5H11N,N1CCCCC1,0.688,85.089149,1,1,17,12.03,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C12H9NS,S1c2c(Nc3c1cccc3)cccc2,3.786,199.04557,1,1,23,37.33,0,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C20H24N2O2,O(c1cc2c(nccc2[C@@H](O)[C@H]3N4C[C@H](C=C)[C@H](C3)CC4)cc1)C,2.604,324.183778,1,3,48,45.59,6,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C17H20N4O6,O=c1nc-2n(c3c(cc(C)c(c3)C)nc2c([nH]1)=O)C[C@H](O)[C@H](O)[C@H](O)CO,0.576,376.138284,5,6,47,161.56,11,0,0,2,✅ Pass,✅ Pass,❌ Fail,✅ Pass,❌ Fail
F2Rn,[Rn](F)F,0.887,233.002246,0,0,3,0.0,2,0,1,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
S8,S1SSSSSSS1,2.04,255.776568,0,0,8,202.4,0,0,1,1,✅ Pass,❌ Fail,❌ Fail,✅ Pass,❌ Fail
C7H6O3,O=C(O)c1c(O)cccc1,1.66,138.031694,2,2,16,57.53,3,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C3H7NO2Se,[SeH]C[C@H](N)C(=O)O,-2.994,168.9642,2,3,14,63.32,5,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C10H12N2O,Oc1cc2c([nH]cc2CCN)cc1,1.004,176.094963,3,1,25,62.04,4,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C17H21NO4,O=C(O[C@@H]1C[C@H]2N(C)[C@@H](C1)[C@H]3[C@@H]2O3)[C@@H](c4ccccc4)CO,0.786,303.147058,1,5,43,62.3,7,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C11H17N2NaO2S,S=C1N=C([O-])C(C(CCC)C)(CC)C(N1)=O.[Na+],2.312,264.090843,1,4,34,96.61,8,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
H2O4S,S(=O)(=O)(O)O,-1.764,97.96738,2,4,7,82.98,2,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C12H17N4OS,s1c(c(C)[n+](c1)Cc2c(=N)[nH]c(C)nc2)CCO,1.561,265.112307,3,3,35,104.88,7,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C22H24N2O8,O=C1c2c(O)cccc2[C@](O)(C)[C@@H]3C1=C(O)[C@]4(O)C(=O)C(=C(O)[C@H]([C@@H]4C3)N(C)C)C(=O)N,0.219,444.153266,6,9,56,181.62,10,1,0,1,✅ Pass,✅ Pass,❌ Fail,❌ Fail,❌ Fail
C7H5N3O6,O=[N+]([O-])c1c(c([N+](=O)[O-])cc(c1)[N+](=O)[O-])C,1.924,227.017835,0,0,21,129.42,7,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C7H8,c1(ccccc1)C,2.459,92.0626,0,0,15,0.0,1,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C19H28O2,O=C1C=C2[C@]([C@@H]3[C@H]([C@H]4[C@]([C@@H](O)CC4)(C)CC3)CC2)(C)CC1,3.635,288.20893,1,2,49,37.3,3,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C7H8N4O2,O=c1n(c2ncn(c2c([nH]1)=O)C)C,0.85,180.064725,1,1,21,72.68,2,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C9H11NO3,O=C(O)[C@@H](N)Cc1ccc(O)cc1,-1.785,181.073893,3,3,24,83.55,6,0,1,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C19H21NO3,O1c2c(OC)ccc3c2[C@@]45[C@@H]1C(OC)=CC=C4[C@H](N(C)CC5)C3,1.642,311.152144,0,2,44,30.93,5,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
CH4N2O,O=C(N)N,-1.686,60.032363,2,3,8,69.11,0,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C5H4N4O3,O=C1NC(O)NC=2C1=NC(=O)N2,-1.6,168.02834,3,7,16,103.15,1,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C6H8O6,O=C1O[C@H]([C@@H](O)CO)C(=C1O)O,-0.178,176.032088,4,6,20,107.22,6,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C22H30N6O4S,S(=O)(=O)(N1CCN(C)CC1)c2cc(-c3nc(=O)c4n(C)nc(c4[nH]3)CCC)c(OCC)cc2,3.108,474.204924,1,6,63,121.8,11,0,0,1,✅ Pass,✅ Pass,❌ Fail,✅ Pass,❌ Fail
C47H51NO14,O=C1[C@]2([C@@H]([C@@]3(OC(=O)C)[C@H](OC3)C[C@@H]2O)[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@@H](C(=C([C@H]1OC(=O)C)C5(C)C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C,2.962,853.330955,4,15,113,221.29,23,2,2,2,❌ Fail,❌ Fail,❌ Fail,✅ Pass,❌ Fail
N2O,[O-][N+]#N,-0.095,44.001063,0,1,3,51.21,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C6H5NO2,O=C(O)c1cnccc1,0.385,123.032028,1,3,14,50.19,2,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C10H14N2,n1cc(ccc1)[C@H]2N(CCC2)C,1.13,162.115698,0,2,26,16.13,2,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C12H17N2O4P,P(=O)(Oc1c2c([nH]cc2CCN(C)C)ccc1)(O)O,0.206,284.092594,3,4,36,95.6,9,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C5H4N5,n1c(N)c2N=C[N]c2nc1,-0.882,134.04667,1,5,14,64.16,1,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C5H5N5,n1c(N)c2nc[nH]c2nc1,-0.337,135.054495,2,4,15,80.48,1,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C5H9NO2,O=C(O)C1NCCC1,-0.185,115.063329,2,3,17,49.33,2,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C4H4N2O2,O=c1[nH]c(=O)cc[nH]1,-0.179,112.027277,2,0,12,65.72,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
