Molecular Formula,SMILES,XLogP,Molecular Weight,Hydrogen Bond Donors,Hydrogen Bond Acceptors,Element Count,Topological Polar Surface Area,Rotatable Bonds Count,Lipinski_Violations,Ghose_Violations,Veber_Violations,Lipinski_Pass,Ghose_Pass,Veber_Pass,Sweet_Spot_Pass,All_Rules_Pass
C9H17N,N12C(CCCC1)CCCC2,1.828,139.1361,0,1,27,3.24,0,0,1,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C14H25N3O9,O=C(O)C(=N)N[C@@H]1[C@H](O[C@H](O[C@@H]2[C@@H](O)[C@@H](O)[C@H](O)[C@@H]([C@H]2O)O)[C@H](C1)N)C,-4.513,379.159079,9,12,51,218.81,13,2,1,2,❌ Fail,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C4H2O6,O=C(O)C(=O)C(=O)C(=O)O,-0.3,145.985138,2,6,12,108.74,5,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C12H10N2,n1c(c2[nH]c3ccccc3c2cc1)C,2.594,182.084398,1,1,24,28.68,1,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C22H17F2N5OS,s1c(nc(c1)-c2ccc(C#N)cc2)[C@@H]([C@@](O)(c3c(F)cc(F)cc3)Cn4ncnc4)C,3.206,437.112188,1,5,48,115.86,10,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C20H16ClF2N5O2,Clc1cc2ncn([C@@H]([C@@](O)(c3c(F)cc(F)cc3)Cn4ncnc4)C)c(c2cc1)=O,3.329,431.096059,1,4,46,85.83,10,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C55H82O21S2,S(=O)(=O)(O[C@@H]1[C@](O[C@H]2C[C@H]3O[C@H]4C[C@H]5O[C@H]6C[C@H]7O[C@@H]8[C@H](O[C@H]9[C@@H](O)[C@]%10(O[C@H]%11CC(=C)[C@H](O[C@@H]%11C[C@@H]%10O[C@@H]9C8)[C@](O)(/C=C/C(=C)CC=C)C)C)[C@H](CC[C@@]7(O[C@@]6(CC[C@@H]5O[C@@H]4C[C@@H]3O[C@@H]2C1)C)C)C)(CCOS(=O)(=O)O)C)O,1.019,1142.479002,4,21,160,285.95,21,2,2,2,❌ Fail,❌ Fail,❌ Fail,✅ Pass,❌ Fail
C8H18,C(C(C)(C)C)(C)(C)C,4.844,114.140851,0,0,26,0.0,7,0,1,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C5H6,C123C(C1)(C2)C3,2.117,66.04695,0,0,11,0.0,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C8H12,C123C(CC1)(CC2)CC3,3.824,108.0939,0,0,20,0.0,0,0,1,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C6H12N4O2,O=C(/N=N/C(=O)N(C)C)N(C)C,-1.244,172.096026,0,6,24,65.34,4,0,1,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C19H18FN3O,Fc1cc2C(=O)NCCc3c2c(c1)[nH]c3-c4ccc(CNC)cc4,3.253,323.14339,3,3,42,56.92,5,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C13H28O,OC(C(C)(C)C)(C(C)(C)C)C(C)(C)C,3.951,200.214016,1,1,42,20.23,13,0,0,1,✅ Pass,✅ Pass,❌ Fail,❌ Fail,❌ Fail
C17H36,C(C(C)(C)C)(C(C)(C)C)(C(C)(C)C)C(C)(C)C,9.893,240.281701,0,0,53,0.0,16,1,1,1,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C13H20,C(C1CC1)(C2CC2)(C3CC3)C4CC4,6.109,176.156501,0,0,33,0.0,4,1,1,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C18H36,C(=C(C(C)(C)C)C(C)(C)C)(C(C)(C)C)C(C)(C)C,7.954,252.281701,0,0,54,0.0,16,1,1,1,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C5H11Cl2N3,Cl.Cl.n1c[nH]c(c1)CCN,0.276,183.033003,2,2,21,54.7,3,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C7H6O2,O=Cc1cc(O)ccc1,1.312,122.036779,1,1,15,37.3,2,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C7H6O2,O=Cc1ccc(O)cc1,1.312,122.036779,1,1,15,37.3,2,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C30H37NO4,O=C1C=C2C(=C3C(c4ccc(N(C)C)cc4)CC5(C(OC(=O)C)(C(=O)C)CCC5C3CC2)C)CC1,4.176,475.272259,0,5,72,63.68,10,0,1,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C6H13NO2,O=C(O)C(N)CCCC,-1.328,131.094629,2,3,22,63.32,7,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C10H15NO,Oc1ccc(CC(NC)C)cc1,1.746,165.115364,2,1,27,32.26,6,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C5H10O4,O=CC[C@@H](O)[C@@H](O)CO,-1.889,134.057909,3,4,19,77.76,7,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C5H10O4,O1C(O)C[C@H]([C@@H]1CO)O,-1.282,134.057909,3,4,19,69.92,4,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
F6H8N2Si,[Si-2](F)(F)(F)(F)(F)F.[NH4+].[NH4+],2.25,178.036094,2,0,17,0.0,6,0,1,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C21H30O2,Oc1c(c(cc(c1)O)CCCCC)[C@H]2C=C(CC[C@H]2C(=C)C)C,6.804,314.22458,2,0,53,40.46,11,1,1,1,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C50H84O21,O=C1O[C@H]2[C@@H](OC(=O)[C@H](CC)C)[C@H](O[C@H]3[C@H](O[C@H]4[C@H](O[C@H](CCCCCCCCC1)CCCCC)O[C@H](C)[C@H]([C@@H]4O)O)O[C@H](CO)[C@H](C3O)O)O[C@H]([C@@H]2O[C@@H]5O[C@@H]([C@@H](OC(=O)/C(=C/C)/C)[C@@H]([C@H]5O)O)C)C,5.429,1020.55051,7,21,155,294.35,29,4,2,2,❌ Fail,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C21H46O3Si,[Si](OC)(OC)(OC)CCCCCCCCCCCCCCCCCC,9.935,374.321622,0,3,71,27.69,24,1,2,1,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C23H24O12,O=c1c(O[C@@H]2O[C@@H]([C@H](O)[C@H]([C@H]2O)O)C)c(oc3c1c(O)c(OC)c(OC)c3)-c4cc(O)c(O)cc4,2.65,492.126776,6,4,59,188.51,14,1,1,2,✅ Pass,❌ Fail,❌ Fail,✅ Pass,❌ Fail
CBr2O,BrC(Br)=O,1.466,185.831589,0,1,4,17.07,2,0,1,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C10H10,C1=CC2C3C4C2C5C1C3C54,3.318,130.07825,0,0,20,0.0,0,0,1,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C8H19N,N(CCCC)CCCC,2.524,129.15175,1,1,28,12.03,8,0,1,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
O12Pr2S3,[Pr+3].[Pr+3].S(=O)(=O)([O-])[O-].S(=O)(=O)([O-])[O-].S(=O)(=O)([O-])[O-],-5.292,569.670494,0,12,17,265.92,6,2,3,1,❌ Fail,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C17H22N2O4,O=C1N(C(=O)CN1CC#C)COC(=O)C2C(C)(C)C2C=C(C)C,2.015,318.157957,0,6,45,66.92,10,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C18H10Cl2F5N5S,Clc1c(-n2nc(C#N)c(c2NCc3ncccc3)SC(F)F)c(Cl)cc(c1)C(F)(F)F,5.841,492.995413,1,4,41,91.83,14,1,2,1,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C10H11N,NC1C=Cc2ccccc2C1,1.695,145.089149,1,1,22,26.02,1,0,1,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C11H13NO2,O1c2c(cc3CCC(Cc3c2)N)OC1,1.032,191.094629,1,1,27,44.48,1,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C10H12ClN,Clc1cc2c(CC(N)CC2)cc1,2.165,181.065827,1,1,24,26.02,2,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
CH6O6P2,P(=O)(O)(O)CP(=O)(O)O,-3.202,175.963961,4,6,15,134.68,6,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C10H15N,NC(Cc1ccccc1)CC,2.12,149.120449,1,1,26,26.02,5,0,1,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C11H17N,NC(Cc1ccc(CC)cc1)C,2.663,163.1361,1,1,29,26.02,6,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C13H19N,N(C(Cc1cc2c(CCC2)cc1)C)C,3.045,189.15175,1,1,33,12.03,5,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C17H17ClF4N4O5S,Clc1c(C(=O)NS(=O)(=O)N(C(C)C)C)cc(-n2c(=O)n(c(C(F)(F)F)cc2=O)C)c(c1)F,3.802,500.054431,1,5,49,118.86,15,1,1,1,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C8H8O4,O=C(c1c(O)cc(O)cc1O)C,1.539,168.042259,3,1,20,77.76,5,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C10H20O2,OC1(CCC(C(O)(C)C)CC1)C,1.577,172.14633,2,2,32,40.46,6,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C40H34N2O8,O=c1c2c(O)c(c(O)c3c2c4c5c6c(c(O)cc(c6c7c4c1c(O)cc7C)C)c(c8c5c3c(O)c(c8O)C9NCCCC9)=O)C%10NCCCC%10,7.378,670.231516,8,2,84,179.58,10,3,3,1,❌ Fail,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C28H44O3,O1O[C@@]23C=C[C@]14[C@H](CC[C@]5([C@H]4CC[C@@H]5[C@@H](/C=C/[C@@H](C(C)C)C)C)C)[C@]2(CC[C@@H](C3)O)C,8.383,428.329045,1,3,75,38.69,11,1,2,1,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C17H26N4O,O1c2c(cccc2)CCC1CNCCCNC3=NCCCN3,2.17,302.210661,3,4,48,57.68,7,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C11H12Cl3N,ClC(Cl)(Cl)/C=N/C(Cc1ccccc1)C,4.046,263.003532,0,1,27,12.36,8,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C11H16FNO2,Fc1c(OC)cc(CC(N)C)c(c1)OC,1.753,213.116507,1,1,31,44.48,9,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C24H38O4,O=C(O)CC[C@H]([C@@H]1C2(C(=C3C([C@@]4([C@@H](C[C@H](O)CC4)CC3)C)C[C@@H]2O)CC1)C)C,3.936,390.27701,3,4,66,77.76,10,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C13H12N4S,S=C(/N=N/c1ccccc1)NNc2ccccc2,4.325,256.078267,2,4,30,80.87,5,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C13H14O3,O=C(c1cc2c(O[C@H]([C@@H]2O)C(=C)C)cc1)C,1.465,218.094294,1,2,30,46.53,5,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C18H17FN2O,Fc1ccc([C@@]2(OCc3c2ccc(c3)C#N)CCCN)cc1,2.908,296.132491,1,3,39,59.04,6,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C9H15N5,n1nc(C2=CCCN(C2)C)nn1CC,0.915,193.132745,0,4,29,46.84,4,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C8H14N2O,O(/N=C\C1=CCCN(C1)C)C,0.77,154.110613,0,1,25,24.83,4,0,1,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C10H15N3O,O(/N=C(\C#N)/C1C2CCN(C1)CC2)C,0.601,193.121512,0,2,29,48.62,3,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C17H16O4,O=C(OCCc1ccccc1)/C=C/c2cc(O)c(O)cc2,3.447,284.104859,2,2,37,66.76,8,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C10H8O4,O=C(c1occc1)C(O)c2occc2,-0.166,192.042259,1,2,22,63.58,4,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C19H20O7,O=C1O[C@@H]2[C@H]3O[C@@]3(CC4OC(C(C[C@@H]([C@H]2C1=C)OC(=O)C(=C)C)=C4)=O)C,1.233,360.120903,0,7,46,91.43,5,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C23H31NO2,O=C(OCCN(CC)CC)C(c1ccccc1)(c2ccccc2)CCC,5.984,353.235479,0,3,57,29.54,14,1,1,1,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C2H8N2,N(NC)C,0.584,60.068748,2,2,12,24.06,3,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C8H5N3O2,O=C1N=NC(N1c2ccccc2)=O,0.34,175.038176,0,5,18,62.1,1,0,1,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C20H24N2O5,O=C(N)c1c(O)ccc(c1)C(O)CNC(CCc2cc3OCOc3cc2)C,2.442,372.168522,4,4,51,114.04,11,0,0,1,✅ Pass,✅ Pass,❌ Fail,✅ Pass,❌ Fail
C15H17N3O,O(c1cc2c(n3CCN(C=4c3c2CCN4)C)cc1)C,3.823,255.137162,0,2,36,29.76,3,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C7H11NO4,O=C(O)C1(N)CC(C(=O)O)CC1,-3.286,173.068808,3,5,23,100.62,5,0,1,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C31H42N6O7,O=C1N2[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(N[C@@H](C(N[C@@H]1CC(=O)O)=O)Cc3c4c(cccc4)[nH]c3)=O)CC(C)C)C(C)C)CCC2,3.62,610.311498,6,12,86,189.8,12,3,2,2,❌ Fail,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C30H28N2Na4O14S5,S(=O)(=O)(c1ccc(NC(S(=O)(=O)[O-])CC(S(=O)(=O)[O-])c2ccccc2)cc1)c3ccc(NC(S(=O)(=O)[O-])CC(S(=O)(=O)[O-])c4ccccc4)cc3.[Na+].[Na+].[Na+].[Na+],0.173,891.973486,2,16,83,328.9,20,2,2,2,❌ Fail,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C27H50O6,O=C(OC(COC(=O)CCCCCCC)COC(=O)CCCCCCC)CCCCCCC,9.634,470.360739,0,6,83,78.9,29,1,2,1,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C3H6N2,N1[C]NCC1,-0.498,70.053098,2,2,11,24.06,0,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C14H15ClN4,Clc1cc(C2=NCCN=C3C2=C(NN3C)C)ccc1,2.358,274.098524,1,4,34,39.99,4,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C10H21N,N([C@H](CC1CCCCC1)C)C,3.509,155.1674,1,1,32,12.03,5,0,1,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C13H14N4O2,O=[N+]([O-])c1cc2c(nc(N3CCNCC3)cc2)cc1,2.478,258.111676,1,3,33,71.3,3,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C12H14O2S2,S(C(=O)c1cc(C(SCC)=O)ccc1)CC,3.524,254.043522,0,2,30,84.74,8,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C16H24N2O4,O=C(O)[C@@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)CC(C)C,-0.918,308.173607,4,6,46,112.65,13,0,1,1,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C14H20O5,O=C1O[C@H](CCCCCC)C2=C1[C@@H](O)[C@H]3O[C@H]3[C@@H]2O,1.096,268.131074,2,5,39,79.29,8,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C18H16,c1(ccccc1)/C=C/C=C/C=C/c2ccccc2,6.044,232.125201,0,0,34,0.0,4,1,1,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C26H14N8O7S,S1C2=N[C@@H](C1)c3oc(C)c(n3)-c4oc(C)c(n4)-c5occ(n5)-c6nc(-c7nc(-c8nc(-c9nc2co9)co8)co7)co6,3.814,582.070616,0,8,56,219.87,2,1,1,1,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C7H5Cl2NO2,Clc1c(N)cc(Cl)cc1C(=O)O,2.064,204.969734,2,3,17,63.32,5,0,1,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C15H18O6,O=C1OC[C@@]2([C@]1([C@@H]3O[C@@]4(C)[C@@]35CC(O[C@@]25C[C@@H]4O)=O)C)C,-0.198,294.110338,1,6,39,82.06,4,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C17H23Cl2NO,Clc1c(Cl)ccc(c1)[C@@]2(O)[C@H](NC(C)C)C3CCC2CC3,4.684,327.11567,2,2,44,32.26,8,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C18H14,c1(-c2ccccc2)ccc(-c3ccccc3)cc1,5.902,230.10955,0,0,32,0.0,2,1,1,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
AlB3H12,[Al+3].[BH4-].[BH4-].[BH4-],0.0,72.103355,0,0,16,0.0,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C4H9Br,BrC(C)(C)C,2.428,135.988762,0,0,14,0.0,4,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C9H16O2,O=C(OCC=C)CCCCC,2.816,156.11503,0,2,27,26.3,8,0,1,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C22H25NO3,O=C(O)c1ccc(C(=O)Nc2cc3c(C(CCC3(C)C)(C)C)cc2)cc1,5.902,351.183444,2,4,51,66.4,8,1,1,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C2H6N2O,[O-]/[N+](=N/C)/C,-0.289,74.048013,0,1,11,38.43,3,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C20H30O,Oc1c(c2c([C@@]3([C@H](C(CCC3)(C)C)CC2)C)cc1)C(C)C,7.608,286.229666,1,0,51,20.23,7,1,1,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C50H70LuN5O12,[Lu+3]N=1C=2C(CCCO)=C(C1C=Nc3c(N=CC4=NC(=Cc5[n-]c(C2)c(c5CC)CC)C(=C4C)CCCO)cc(OCCOCCOCCOC)c(c3)OCCOCCOCCOC)C.O=C([O-])C,0.241,1107.442869,3,14,138,191.51,39,2,2,2,❌ Fail,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C39H48N4O4,O=C1C=2c3nc(C2C)cc4[nH]c(cc5[nH]c(cc6nc(c3C1)[C@H]([C@@H]6C)CCC(=O)O)c(c5C(OCCCCCC)C)C)c(c4CC)C,6.872,636.367556,3,6,95,120.96,19,2,3,1,❌ Fail,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C17H16ClN3O2,Clc1cc2c(N(C(=O)CN(C2c3ccccc3)C(=O)N)C)cc1,1.739,329.093104,1,5,39,66.64,3,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C15H11ClN2O2,Clc1cc2C(=[N+]([O-])CC(Nc2cc1)=O)c3ccccc3,2.008,286.050905,1,2,31,55.17,3,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C17H15N3O4,O=[N+]([O-])c1cc2C(=NCC(N(c2cc1)COC)=O)c3ccccc3,2.135,325.106256,0,4,39,85.04,6,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C17H16Cl2N2O,Clc1c(C2=NCC(CO)N(c3c2cc(Cl)cc3)C)cccc1,4.475,334.063968,1,3,38,35.83,6,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C24H20Cl2N2O3S,Clc1c(C2=NCC(=O)N(c3c2cc(Cl)cc3)CCS(=O)(=O)c4ccc(C)cc4)cccc1,5.245,486.057169,0,5,52,75.19,8,1,1,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C15H15ClN2O,Clc1cc2C(=NCC(Nc2cc1)=O)C3=CCCCC3,2.644,274.087291,1,3,34,41.46,2,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C23H24O2,O=C(O)[C@H]1C2C=CC3[C@@H]1CC4[C@H]3[C@H]2[C@H]4C/C=C/C=C/c5ccccc5,6.439,332.17763,1,2,49,37.3,6,1,1,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C4H10,C(CC)C,2.616,58.07825,0,0,14,0.0,3,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C22H23FN6O3,Fc1c(-c2ccc(CNCc3[nH]nnc3)cc2)ccc(c1)N4C(=O)O[C@H](C4)CNC(=O)C,2.071,438.181567,3,8,55,112.24,10,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C5H12O,OCC(CC)C,1.148,88.088815,1,1,18,20.23,5,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C21H32O5S,S(=O)(=O)(O[C@@H]1CC2=CC[C@H]3[C@H]4[C@]([C@@H](C(=O)C)CC4)(C)CC[C@@H]3[C@@]2(C)CC1)O,3.536,396.197045,1,5,59,89.05,7,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C15H18N2O6,O=[N+]([O-])c1c(OC(=O)C=C(C)C)c(cc(c1)[N+](=O)[O-])C(CC)C,4.232,322.116486,0,1,41,112.58,13,0,0,1,✅ Pass,✅ Pass,❌ Fail,❌ Fail,❌ Fail
C10H9Cl4NO2S,ClC(Cl)(SN1C(=O)[C@H]2CC=CC[C@H]2C1=O)C(Cl)Cl,2.77,346.91081,0,3,27,62.68,7,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C2H2O,OC#C,0.621,42.010565,1,1,5,20.23,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C4H4O2,O=C(O)C1C=C1,0.086,84.021129,1,2,10,37.3,2,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C16H14Cl2O3,Clc1ccc(C(O)(c2ccc(Cl)cc2)C(=O)OCC)cc1,4.413,324.032,1,3,35,46.53,9,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C14H15Cl2N,ClCCN(c1cc2c(cccc2)cc1)CCCl,5.027,267.058155,0,1,32,3.24,7,1,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C12H28N6,N=C(NCCCCCCCCCCNC(=N)N)N,3.132,256.237545,6,6,46,123.8,15,1,0,1,✅ Pass,✅ Pass,❌ Fail,✅ Pass,❌ Fail
C6HCl5,Clc1c(Cl)c(Cl)cc(c1Cl)Cl,5.132,247.852088,0,0,12,0.0,5,1,1,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C10H19ClNO5P,Cl/C(/C(=O)N(CC)CC)=C(/OP(=O)(OC)OC)\C,1.077,299.068937,0,6,37,74.88,13,0,0,1,✅ Pass,✅ Pass,❌ Fail,✅ Pass,❌ Fail
C12H10O4,O=C(O)/C=C/C=C/c1cc2OCOc2cc1,2.092,218.057909,1,2,26,55.76,4,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C13H18N2O5S,S(=O)(=O)(Nc1c(OC2CCCCC2)cc([N+](=O)[O-])cc1)C,2.897,314.093643,1,3,39,106.92,7,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C15H16O9,O=c1oc2c(O)c(O[C@@H]3O[C@@H]([C@@H](O)[C@@H]([C@H]3O)O)CO)ccc2cc1,0.264,340.079432,5,5,40,149.82,8,0,0,1,✅ Pass,✅ Pass,❌ Fail,❌ Fail,❌ Fail
C7H5ClHgO2,[Hg](Cl)c1ccc(C(=O)O)cc1,2.108,357.96845,1,2,16,37.3,4,0,1,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C14H23N6O3S,[S+](C[C@H]1O[C@@H](n2c3ncnc(c3nc2)N)[C@@H]([C@@H]1O)O)(CCCN)C,-0.311,355.155235,4,8,47,145.33,11,0,0,2,✅ Pass,✅ Pass,❌ Fail,❌ Fail,❌ Fail
C22H14O9,O=C1C(C(=O)O)=CC(=C(c2cc(c(O)cc2)C(=O)O)c3cc(c(O)cc3)C(=O)O)C=C1,3.806,422.063782,5,7,45,169.43,10,0,0,1,✅ Pass,✅ Pass,❌ Fail,❌ Fail,❌ Fail
C22H26FN5O2,Fc1cc2C(=O)N(Cc3n(-c2cc1)cnc3-c4oc(CN(CCC)CCC)cn4)C,3.662,411.207053,0,5,56,67.4,11,0,0,1,✅ Pass,✅ Pass,❌ Fail,❌ Fail,❌ Fail
C28H45NO7S,S(=O)(=O)(OCC(=O)[C@@H]1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4([C@H](C[C@H](O)[C@H](C4)N5CC(OCC5)(C)C)CC3)C)C(C2)=O)CC1)C)C,2.202,539.291674,1,8,82,118.59,11,1,2,1,✅ Pass,❌ Fail,❌ Fail,✅ Pass,❌ Fail
C12H15FN2,Fc1cc2c([nH]cc2CCN(C)C)cc1,2.2,206.121927,1,1,30,19.03,6,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C66H126N2O19P2,P(=O)(OC1OC(C(O)C(C1NC(=O)CC(=O)CCCCCCCCCCC)OCCCCCCCCCC)COC2OC(C(OP(=O)(O)O)C(C2NC(=O)CCCCCCCCC/C=C/CCCCCC)OCCC(OC)CCCCCCC)COC)(O)O,16.425,1312.843003,7,21,215,313.25,70,4,3,2,❌ Fail,❌ Fail,❌ Fail,❌ Fail,❌ Fail
